Variable:,location_id,location_name,year_id,age_group_id,age_group_name,haq_index_age_type,indicator_id,indicator_name,measure,val,upper,lower
Label:,Location ID,Location Name,Year,Age Group ID,Age Group Name,HAQ Index Age Type,Indicator ID,Indicator Name,Measure,Value,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,6,China,1990,27,Age-standardized,Overall,100,HAQ Index,Index,,,
,7,Democratic People's Republic of Korea,2019,39,0-14 years,Young,297,Tuberculosis,Mortality-to-incidence ratios (MIR),,,
,8,Taiwan (Province of China),,200,15-64 years,Working,302,Diarrheal diseases,Risk-standardised death rates (RSD),,,
,10,Cambodia,,232,65-74 years,Post-working,322,Lower respiratory infections,,,,
,11,Indonesia,,,,,328,Upper respiratory infections,,,,
,12,Lao People's Democratic Republic,,,,,338,Diphtheria,,,,
,13,Malaysia,,,,,339,Whooping cough,,,,
,14,Maldives,,,,,340,Tetanus,,,,
,15,Myanmar,,,,,341,Measles,,,,
,16,Philippines,,,,,366,Maternal disorders,,,,
,17,Sri Lanka,,,,,380,Neonatal disorders,,,,
,18,Thailand,,,,,429,Breast cancer,,,,
,19,Timor-Leste,,,,,432,Cervical cancer,,,,
,20,Viet Nam,,,,,435,Uterine cancer,,,,
,22,Fiji,,,,,441,Colon and rectum cancer,,,,
,23,Kiribati,,,,,468,Testicular cancer,,,,
,24,Marshall Islands,,,,,484,Hodgkin lymphoma,,,,
,25,Micronesia (Federated States of),,,,,487,Leukemia,,,,
,26,Papua New Guinea,,,,,492,Rheumatic heart disease,,,,
,27,Samoa,,,,,493,Ischemic heart disease,,,,
,28,Solomon Islands,,,,,494,Stroke,,,,
,29,Tonga,,,,,498,Hypertensive heart disease,,,,
,30,Vanuatu,,,,,508,Chronic respiratory diseases,,,,
,33,Armenia,,,,,527,Peptic ulcer disease,,,,
,34,Azerbaijan,,,,,529,Appendicitis,,,,
,35,Georgia,,,,,531,"Inguinal, femoral, and abdominal hernia",,,,
,36,Kazakhstan,,,,,534,Gallbladder and biliary diseases,,,,
,37,Kyrgyzstan,,,,,545,Idiopathic epilepsy,,,,
,38,Mongolia,,,,,587,Diabetes mellitus,,,,
,39,Tajikistan,,,,,589,Chronic kidney disease,,,,
,40,Turkmenistan,,,,,643,Congenital heart anomalies,,,,
,41,Uzbekistan,,,,,708,Adverse effects of medical treatment,,,,
,43,Albania,,,,,849,Non-melanoma skin cancer (squamous-cell carcinoma),,,,
,44,Bosnia and Herzegovina,,,,,,,,,,
,45,Bulgaria,,,,,,,,,,
,46,Croatia,,,,,,,,,,
,47,Czechia,,,,,,,,,,
,48,Hungary,,,,,,,,,,
,49,North Macedonia,,,,,,,,,,
,50,Montenegro,,,,,,,,,,
,51,Poland,,,,,,,,,,
,52,Romania,,,,,,,,,,
,53,Serbia,,,,,,,,,,
,54,Slovakia,,,,,,,,,,
,55,Slovenia,,,,,,,,,,
,57,Belarus,,,,,,,,,,
,58,Estonia,,,,,,,,,,
,59,Latvia,,,,,,,,,,
,60,Lithuania,,,,,,,,,,
,61,Republic of Moldova,,,,,,,,,,
,62,Russian Federation,,,,,,,,,,
,63,Ukraine,,,,,,,,,,
,66,Brunei Darussalam,,,,,,,,,,
,67,Japan,,,,,,,,,,
,68,Republic of Korea,,,,,,,,,,
,69,Singapore,,,,,,,,,,
,71,Australia,,,,,,,,,,
,72,New Zealand,,,,,,,,,,
,74,Andorra,,,,,,,,,,
,75,Austria,,,,,,,,,,
,76,Belgium,,,,,,,,,,
,77,Cyprus,,,,,,,,,,
,78,Denmark,,,,,,,,,,
,79,Finland,,,,,,,,,,
,80,France,,,,,,,,,,
,81,Germany,,,,,,,,,,
,82,Greece,,,,,,,,,,
,83,Iceland,,,,,,,,,,
,84,Ireland,,,,,,,,,,
,85,Israel,,,,,,,,,,
,86,Italy,,,,,,,,,,
,87,Luxembourg,,,,,,,,,,
,88,Malta,,,,,,,,,,
,89,Netherlands,,,,,,,,,,
,90,Norway,,,,,,,,,,
,91,Portugal,,,,,,,,,,
,92,Spain,,,,,,,,,,
,93,Sweden,,,,,,,,,,
,94,Switzerland,,,,,,,,,,
,95,United Kingdom,,,,,,,,,,
,97,Argentina,,,,,,,,,,
,98,Chile,,,,,,,,,,
,99,Uruguay,,,,,,,,,,
,101,Canada,,,,,,,,,,
,102,United States of America,,,,,,,,,,
,105,Antigua and Barbuda,,,,,,,,,,
,106,Bahamas,,,,,,,,,,
,107,Barbados,,,,,,,,,,
,108,Belize,,,,,,,,,,
,109,Cuba,,,,,,,,,,
,110,Dominica,,,,,,,,,,
,111,Dominican Republic,,,,,,,,,,
,112,Grenada,,,,,,,,,,
,113,Guyana,,,,,,,,,,
,114,Haiti,,,,,,,,,,
,115,Jamaica,,,,,,,,,,
,116,Saint Lucia,,,,,,,,,,
,117,Saint Vincent and the Grenadines,,,,,,,,,,
,118,Suriname,,,,,,,,,,
,119,Trinidad and Tobago,,,,,,,,,,
,121,Bolivia (Plurinational State of),,,,,,,,,,
,122,Ecuador,,,,,,,,,,
,123,Peru,,,,,,,,,,
,125,Colombia,,,,,,,,,,
,126,Costa Rica,,,,,,,,,,
,127,El Salvador,,,,,,,,,,
,128,Guatemala,,,,,,,,,,
,129,Honduras,,,,,,,,,,
,130,Mexico,,,,,,,,,,
,131,Nicaragua,,,,,,,,,,
,132,Panama,,,,,,,,,,
,133,Venezuela (Bolivarian Republic of),,,,,,,,,,
,135,Brazil,,,,,,,,,,
,136,Paraguay,,,,,,,,,,
,139,Algeria,,,,,,,,,,
,140,Bahrain,,,,,,,,,,
,141,Egypt,,,,,,,,,,
,142,Iran (Islamic Republic of),,,,,,,,,,
,143,Iraq,,,,,,,,,,
,144,Jordan,,,,,,,,,,
,145,Kuwait,,,,,,,,,,
,146,Lebanon,,,,,,,,,,
,147,Libya,,,,,,,,,,
,148,Morocco,,,,,,,,,,
,149,Palestine,,,,,,,,,,
,150,Oman,,,,,,,,,,
,151,Qatar,,,,,,,,,,
,152,Saudi Arabia,,,,,,,,,,
,153,Syrian Arab Republic,,,,,,,,,,
,154,Tunisia,,,,,,,,,,
,155,Türkiye,,,,,,,,,,
,156,United Arab Emirates,,,,,,,,,,
,157,Yemen,,,,,,,,,,
,160,Afghanistan,,,,,,,,,,
,161,Bangladesh,,,,,,,,,,
,162,Bhutan,,,,,,,,,,
,163,India,,,,,,,,,,
,164,Nepal,,,,,,,,,,
,165,Pakistan,,,,,,,,,,
,168,Angola,,,,,,,,,,
,169,Central African Republic,,,,,,,,,,
,170,Congo,,,,,,,,,,
,171,Democratic Republic of the Congo,,,,,,,,,,
,172,Equatorial Guinea,,,,,,,,,,
,173,Gabon,,,,,,,,,,
,175,Burundi,,,,,,,,,,
,176,Comoros,,,,,,,,,,
,177,Djibouti,,,,,,,,,,
,178,Eritrea,,,,,,,,,,
,179,Ethiopia,,,,,,,,,,
,180,Kenya,,,,,,,,,,
,181,Madagascar,,,,,,,,,,
,182,Malawi,,,,,,,,,,
,183,Mauritius,,,,,,,,,,
,184,Mozambique,,,,,,,,,,
,185,Rwanda,,,,,,,,,,
,186,Seychelles,,,,,,,,,,
,187,Somalia,,,,,,,,,,
,189,United Republic of Tanzania,,,,,,,,,,
,190,Uganda,,,,,,,,,,
,191,Zambia,,,,,,,,,,
,193,Botswana,,,,,,,,,,
,194,Lesotho,,,,,,,,,,
,195,Namibia,,,,,,,,,,
,196,South Africa,,,,,,,,,,
,197,Eswatini,,,,,,,,,,
,198,Zimbabwe,,,,,,,,,,
,200,Benin,,,,,,,,,,
,201,Burkina Faso,,,,,,,,,,
,202,Cameroon,,,,,,,,,,
,203,Cabo Verde,,,,,,,,,,
,204,Chad,,,,,,,,,,
,205,Côte d'Ivoire,,,,,,,,,,
,206,Gambia,,,,,,,,,,
,207,Ghana,,,,,,,,,,
,208,Guinea,,,,,,,,,,
,209,Guinea-Bissau,,,,,,,,,,
,210,Liberia,,,,,,,,,,
,211,Mali,,,,,,,,,,
,212,Mauritania,,,,,,,,,,
,213,Niger,,,,,,,,,,
,214,Nigeria,,,,,,,,,,
,215,Sao Tome and Principe,,,,,,,,,,
,216,Senegal,,,,,,,,,,
,217,Sierra Leone,,,,,,,,,,
,218,Togo,,,,,,,,,,
,298,American Samoa,,,,,,,,,,
,305,Bermuda,,,,,,,,,,
,320,Cook Islands,,,,,,,,,,
,349,Greenland,,,,,,,,,,
,351,Guam,,,,,,,,,,
,367,Monaco,,,,,,,,,,
,369,Nauru,,,,,,,,,,
,374,Niue,,,,,,,,,,
,376,Northern Mariana Islands,,,,,,,,,,
,380,Palau,,,,,,,,,,
,385,Puerto Rico,,,,,,,,,,
,393,Saint Kitts and Nevis,,,,,,,,,,
,396,San Marino,,,,,,,,,,
,413,Tokelau,,,,,,,,,,
,416,Tuvalu,,,,,,,,,,
,422,United States Virgin Islands,,,,,,,,,,
,435,South Sudan,,,,,,,,,,
,522,Sudan,,,,,,,,,,
